DATE,IMPGS
1989-01-01,586.154
1989-04-01,595.389
1989-07-01,584.427
1989-10-01,598.152
1990-01-01,626.767
1990-04-01,614.759
1990-07-01,630.102
1990-10-01,647.282
1991-01-01,620.317
1991-04-01,613.921
1991-07-01,621.669
1991-10-01,638.27
1992-01-01,645.823
1992-04-01,658.951
1992-07-01,677.853
1992-10-01,688.536
1993-01-01,699.31
1993-04-01,716.281
1993-07-01,719.251
1993-10-01,745.049
1994-01-01,761.827
1994-04-01,797.56
1994-07-01,833.751
1994-10-01,860.559
1995-01-01,886.899
1995-04-01,908.343
1995-07-01,905.843
1995-10-01,909.201
1996-01-01,936.735
1996-04-01,952.751
1996-07-01,973.757
1996-10-01,992.62
1997-01-01,1027.213
1997-04-01,1039.651
1997-07-01,1070.888
1997-10-01,1085.344
1998-01-01,1098.236
1998-04-01,1109.622
1998-07-01,1109.901
1998-10-01,1145.0
1999-01-01,1170.088
1999-04-01,1218.181
1999-07-01,1278.526
1999-10-01,1327.65
2000-01-01,1406.765
2000-04-01,1452.31
2000-07-01,1513.689
2000-10-01,1517.753
2001-01-01,1488.371
2001-04-01,1413.923
2001-07-01,1365.176
2001-10-01,1314.101
2002-01-01,1348.589
2002-04-01,1423.471
2002-07-01,1453.236
2002-10-01,1490.581
2003-01-01,1513.083
2003-04-01,1513.695
2003-07-01,1542.44
2003-10-01,1606.516
2004-01-01,1687.929
2004-04-01,1780.331
2004-07-01,1823.966
2004-10-01,1910.479
2005-01-01,1944.982
2005-04-01,1989.219
2005-07-01,2042.279
2005-10-01,2143.856
2006-01-01,2194.408
2006-04-01,2244.983
2006-07-01,2285.726
2006-10-01,2263.924
2007-01-01,2308.949
2007-04-01,2358.045
2007-07-01,2399.635
2007-10-01,2466.029
2008-01-01,2571.371
2008-04-01,2679.885
2008-07-01,2697.215
2008-10-01,2311.554
2009-01-01,1913.357
2009-04-01,1864.465
2009-07-01,2002.002
2009-10-01,2152.885
2010-01-01,2241.931
2010-04-01,2337.255
2010-07-01,2404.859
2010-10-01,2475.921
2011-01-01,2595.802
2011-04-01,2695.272
2011-07-01,2715.258
2011-10-01,2739.126
2012-01-01,2784.288
2012-04-01,2780.712
2012-07-01,2744.535
2012-10-01,2745.842
2013-01-01,2761.724
2013-04-01,2767.775
2013-07-01,2767.008
2013-10-01,2777.944
2014-01-01,2856.432
2014-04-01,2903.914
2014-07-01,2878.097
2014-10-01,2894.185
2015-01-01,2827.264
2015-04-01,2811.009
2015-07-01,2787.398
2015-10-01,2730.163
2016-01-01,2692.768
2016-04-01,2703.374
2016-07-01,2741.274
2016-10-01,2805.805
2017-01-01,2878.42
2017-04-01,2882.135
2017-07-01,2877.846
